,Tag3 ,Tag4,Tag5,Tag6,Tag7,Tag8
95,0,0,0,0,0,1
96,0,0,0,1,0,1
97,1,0,0,0,0,0
98,0,0,0,0,0,1
99,0,0,0,0,0,1
100,0,0,0,1,0,0
101,0,0,0,1,0,0
102,0,0,0,0,0,0
103,1,1,1,0,0,0
104,0,0,0,0,0,0
105,0,0,0,0,0,0
106,0,0,0,0,1,1
107,0,0,0,0,1,1
108,1,1,0,0,1,1
109,0,0,0,0,0,1
110,0,0,0,1,0,1
111,0,0,0,0,0,1
112,0,0,0,0,1,1
113,0,0,0,0,0,1
114,0,0,0,0,0,1
115,0,0,1,1,1,1
116,0,0,0,0,0,0
117,0,0,0,0,0,0
118,0,0,0,0,0,1
119,0,0,0,0,0,0
120,0,0,0,0,0,1
121,1,0,0,0,0,1
122,0,0,0,0,0,0
123,0,0,0,0,1,1
124,0,0,0,0,1,1
125,0,0,0,0,0,1
126,0,0,0,0,0,1
127,0,0,0,0,0,1
128,0,0,0,0,0,1
129,1,1,1,0,1,1
130,0,0,0,0,1,1
131,1,1,0,0,0,0
132,0,0,0,1,0,1
133,0,0,0,1,1,1
134,0,0,0,0,0,1
135,0,0,0,0,0,1
136,0,0,0,0,0,1
137,0,0,0,1,0,0
138,0,0,0,0,0,1
139,0,0,0,0,0,0
140,0,0,0,0,0,1
141,0,0,0,0,0,1
142,0,0,0,0,0,0
143,0,0,0,0,1,1
144,0,0,0,0,0,1
145,0,0,0,0,0,1
146,0,0,0,0,0,1
147,0,0,0,0,1,0
148,0,0,0,0,0,0
149,0,0,0,0,0,0
150,0,0,0,0,0,1
151,0,0,0,0,0,1
152,0,0,0,0,0,0
153,1,0,0,0,0,0
154,0,0,0,0,0,0
155,0,0,0,0,0,0
156,1,0,0,0,0,1
157,0,0,0,0,0,1
158,0,0,0,0,0,0
159,0,0,0,0,0,0
160,0,0,0,0,0,1
161,0,0,0,0,0,0
162,0,0,0,0,0,0
163,0,0,0,0,1,0
164,0,0,1,0,0,0
165,0,0,0,0,0,1
166,1,1,1,0,1,1
167,0,0,0,0,0,1
168,1,0,0,0,0,0
169,1,0,1,0,1,0
170,1,0,0,0,0,0
171,0,0,0,0,0,0
172,0,0,1,0,0,0
173,0,0,0,0,0,0
174,0,0,0,0,0,0
175,0,0,0,0,0,0
176,0,0,0,0,0,0
177,0,0,0,0,1,1
178,0,0,0,0,0,0
179,0,0,0,0,0,1
180,0,0,0,0,1,0
181,0,0,0,0,0,0
182,1,0,0,0,0,0
183,0,0,0,0,0,0
184,1,0,0,0,1,0
185,0,1,0,0,0,0
186,0,0,0,0,0,1
187,0,0,0,0,0,1
188,1,0,0,0,1,0
189,0,0,0,0,0,0
190,0,0,0,0,1,1
191,0,0,0,0,1,0
192,0,0,0,0,1,0
193,0,0,0,0,0,1
194,0,0,0,0,0,0
195,0,0,0,0,0,0
196,0,0,0,0,0,0
197,0,0,0,0,0,0
198,0,0,0,0,0,0
199,1,0,0,0,0,1
200,1,0,0,0,1,0
201,0,0,0,0,0,1
202,1,0,0,0,0,0
203,0,0,0,1,0,1
204,0,0,0,0,0,0
205,0,0,0,0,0,0
206,0,0,0,0,0,1
207,1,0,1,0,1,0
208,0,0,0,0,0,0
209,0,0,0,0,0,0
210,0,0,0,0,0,0
211,1,0,1,0,1,0
212,0,0,0,0,0,0
213,0,0,0,0,1,1
214,0,0,0,0,0,0
215,1,1,1,0,1,0
216,0,0,0,0,1,0
217,0,0,0,0,0,0
218,0,0,0,0,0,0
219,0,0,0,0,0,0
220,1,0,0,0,0,1
221,0,0,0,0,0,0
222,1,0,0,0,1,1
223,0,0,0,0,1,1
224,0,0,0,0,0,1
225,0,0,0,0,0,0
226,0,0,0,0,0,0
227,0,0,0,0,0,1
228,0,0,0,0,0,1
229,0,0,0,0,0,0
230,0,0,0,0,0,0
231,0,0,0,0,0,0
232,0,0,0,0,0,1
233,0,0,0,0,0,1
